node,y,x,street_count,highway
90378707,41.1588568,-8.6287846,3,
90378713,41.1569781,-8.6293986,3,
111799455,41.158278,-8.6302268,3,
122452434,41.1639052,-8.6207018,4,
126600959,41.1627307,-8.6208599,4,traffic_signals
126604789,41.1598688,-8.6246623,4,
128560446,41.167014,-8.6117522,3,
128578706,41.1714469,-8.6057483,4,traffic_signals
128580161,41.1732029,-8.6056921,4,
128581937,41.1725805,-8.6053176,3,
128597080,41.1736115,-8.6058176,4,
129795158,41.1560838,-8.6296436,3,
129795309,41.1548092,-8.6307303,3,
129800102,41.1545682,-8.6310274,3,
138208872,41.1613323,-8.6210694,3,
314555992,41.1551671,-8.6302935,3,
316511863,41.1677569,-8.6107657,3,
316511864,41.1695191,-8.6084611,3,
316511865,41.1705066,-8.6066358,3,
335691896,41.1526306,-8.6330929,3,
343646689,41.1694097,-8.608551,3,
411504967,41.1737054,-8.6052572,3,
411504968,41.1737461,-8.6055495,3,
411504977,41.1746799,-8.5997536,4,
411504984,41.1737938,-8.6012643,3,
412248019,41.1758899,-8.600181,3,
412249442,41.1737032,-8.6037698,4,
416007715,41.1709749,-8.6061999,4,
416007716,41.1699536,-8.607905,3,
416007717,41.1697339,-8.6081611,3,
416007718,41.1696899,-8.6082111,3,
420777494,41.1739145,-8.6008383,3,
432578781,41.1772548,-8.5995986,3,
435468987,41.1684728,-8.6098197,3,
474541483,41.1606956,-8.6211627,3,
474546948,41.1633535,-8.6163008,4,traffic_signals
474552495,41.161111,-8.6211012,3,
474690461,41.1662876,-8.6145177,3,
474691686,41.1632312,-8.6152851,3,
474691694,41.1648557,-8.6148876,3,
474691703,41.1670268,-8.6143419,3,
474694626,41.1635113,-8.6174773,3,
474695389,41.163633,-8.6185099,3,
474697403,41.16385,-8.6202394,3,
474793789,41.1665059,-8.6115648,3,
474793814,41.1666419,-8.6133447,4,
474794846,41.1664113,-8.6122183,3,
474800358,41.1666015,-8.6131726,3,
475044410,41.1622085,-8.6209476,3,
475328017,41.1638048,-8.6198628,3,
475329142,41.1637513,-8.6194714,3,
479183608,41.1528317,-8.6375345,3,
479183873,41.1524621,-8.6344234,3,
1165604001,41.1696555,-8.6082651,3,
1216466345,41.1604688,-8.6213313,3,crossing
1216789877,41.1603937,-8.6227567,3,
1418798469,41.152688,-8.6328135,3,
1438444064,41.1554107,-8.630041,3,
1788786387,41.153272,-8.6323788,3,
2084090872,41.1736749,-8.6045648,3,
2094769995,41.1588874,-8.629061,3,
2225284288,41.1676046,-8.610975,3,
2244990442,41.1540073,-8.6318156,4,
2490198483,41.1717155,-8.6055323,3,
2585503026,41.1579808,-8.630324,3,
3092543648,41.1536041,-8.6322,4,
3446699975,41.1586897,-8.6298586,3,
4087312908,41.1736612,-8.6058348,3,
4246373461,41.1604408,-8.6221304,3,
4468690315,41.1585079,-8.6281333,3,
4468690328,41.1573337,-8.6301439,3,
4523960189,41.1778975,-8.5992641,3,
4612052766,41.1605352,-8.6211833,3,
4685392627,41.1664189,-8.6122786,3,
4703906251,41.1604041,-8.6218024,3,
5297703224,41.1525859,-8.633479,3,
9049275537,41.1756882,-8.6001867,3,
11108276739,41.1713711,-8.6058208,3,
12106031784,41.1584693,-8.6279107,3,
