node,y,x,highway,street_count
122452414,41.1613654,-8.60031,traffic_signals,4
122452417,41.1615383,-8.6016969,,3
122452424,41.1621694,-8.6068578,traffic_signals,4
122452425,41.1624758,-8.6092234,traffic_signals,4
126617430,41.1614797,-8.6095946,,4
126634476,41.1618277,-8.6040169,,3
128560274,41.1580584,-8.6122531,,3
128560275,41.1573409,-8.6126514,,3
128673221,41.1523893,-8.6271726,,3
128673222,41.1524782,-8.628743,,4
128673223,41.1525836,-8.6306176,,4
129953503,41.1571135,-8.6242502,,3
129953504,41.1565309,-8.6207729,,4
129953505,41.1562894,-8.6193259,,4
137993249,41.1606857,-8.6115801,,3
297880533,41.1496681,-8.6346888,,3
299575942,41.1660037,-8.5976924,,3
299610705,41.1657333,-8.5984464,,3
299611700,41.1618377,-8.6040909,,3
299611722,41.1632619,-8.5995483,,3
335560491,41.1545861,-8.6268237,,4
335561263,41.1544518,-8.626827,,3
335561971,41.1556127,-8.6253677,,3
335561972,41.1555223,-8.625395,,3
335561973,41.1553246,-8.6251675,,3
335562043,41.1546666,-8.6256849,,3
343634635,41.1668043,-8.5972933,,4
343646659,41.1619744,-8.6052826,traffic_signals,3
343646683,41.1682719,-8.597633,,3
343646684,41.167062,-8.5981991,,3
406359726,41.166228,-8.5975254,,3
411504965,41.1700292,-8.5972921,,3
411835382,41.1722701,-8.5975134,,3
411835384,41.1726276,-8.5964557,,3
411835470,41.1720387,-8.598181,traffic_signals,4
411842524,41.1644174,-8.5990691,,4
432578831,41.1754256,-8.5941911,,3
432578922,41.1724091,-8.5959338,,3
455341194,41.1566109,-8.6212708,,3
473879871,41.158661,-8.6120698,,3
474677934,41.1566312,-8.6130665,,3
478863293,41.1516317,-8.6305498,,3
478863896,41.1507222,-8.6304881,,3
478927788,41.1499125,-8.6370336,,3
479183608,41.1528317,-8.6375345,,3
773982493,41.1654278,-8.5986596,,4
1110673414,41.1571731,-8.6248951,,4
1110673556,41.1526457,-8.626206,,3
1143317012,41.1516055,-8.6302796,,3
1216789883,41.1590331,-8.6119679,,3
1216789894,41.1595592,-8.6118316,,3
1252543225,41.1543758,-8.6265399,,3
1387283703,41.1655463,-8.5986056,,3
1417675671,41.1568656,-8.622756,,4
1417675673,41.1570513,-8.6238345,,4
1422610110,41.157178,-8.6127422,,3
1594649037,41.1493713,-8.6340611,,3
1788786433,41.154224,-8.6267103,,3
1788786447,41.1544927,-8.6267428,,3
1788787081,41.1553245,-8.613537,,3
1788787115,41.1555082,-8.613285,,3
1788787223,41.1560159,-8.6176976,,3
2168903802,41.1696602,-8.5972898,,3
2168903806,41.1696618,-8.5973632,,3
2185792256,41.1773085,-8.5970814,,3
2250873416,41.1560535,-8.617925,,4
3897692280,41.1657017,-8.5985204,,3
4282469015,41.1756709,-8.5948554,,3
4282469037,41.1759623,-8.5954971,,4
4282469042,41.1760922,-8.5964343,,3
4455723303,41.172355,-8.5972563,,3
4523960189,41.1778975,-8.5992641,,3
4523960191,41.1776263,-8.5981844,,3
4554424112,41.1500306,-8.6375675,,3
4554424124,41.1504683,-8.6378645,,3
5284320721,41.1618595,-8.6043183,,4
8493177618,41.1576751,-8.6124484,,3
10838683814,41.1542771,-8.6267768,,3
10926636885,41.1604475,-8.6100385,,4
10926636886,41.1606343,-8.6099258,,3
