start_node,end_node,length,osmid,oneway,lanes,name,highway,reversed,geometry,maxspeed,bridge,junction
4523960189,432578781,76.754,704870100,False,3,Rua do Doutor Roberto Frias,secondary,True,"LINESTRING (-8.5992641 41.1778975, -8.5993019 41.1778217, -8.5995986 41.1772548)",,,
432578781,412248019,160.219,"[704870100, 1028339895]",False,3,Rua do Doutor Roberto Frias,secondary,True,"LINESTRING (-8.5995986 41.1772548, -8.5996828 41.1770887, -8.5997431 41.1769697, -8.6000095 41.1764594, -8.6000982 41.1762672, -8.6001511 41.1761223, -8.6001733 41.1760053, -8.600181 41.1758899)",,,
412248019,9049275537,22.450000000000003,1028339896,False,2,Rua do Doutor Roberto Frias,secondary,True,"LINESTRING (-8.600181 41.1758899, -8.6001887 41.1757993, -8.6001867 41.1756882)",,,
9049275537,411504977,118.583,"[35145521, 1174863221]",False,3,Rua do Doutor Roberto Frias,secondary,True,"LINESTRING (-8.6001867 41.1756882, -8.6001652 41.1755369, -8.6001245 41.1753856, -8.6000901 41.1752896, -8.6000451 41.1751947, -8.6000191 41.1751417, -8.5999386 41.1750034, -8.5998329 41.1748119, -8.5997536 41.1746799)",,,
411504977,420777494,124.48500000000001,"[35078500, 1174863220]",False,"['2', '3']",Rua Doutor Manuel Pereira da Silva,secondary,False,"LINESTRING (-8.5997536 41.1746799, -8.5998871 41.1745908, -8.6003397 41.174264, -8.6007561 41.1739634, -8.6008383 41.1739145)",,,
420777494,411504984,38.43,35078500,False,2,Rua Doutor Manuel Pereira da Silva,secondary,False,"LINESTRING (-8.6008383 41.1739145, -8.6009155 41.1738773, -8.6009979 41.1738485, -8.6010496 41.1738346, -8.6011677 41.1738077, -8.6012643 41.1737938)",,,
411504984,412249442,209.974,"[1208344474, 705505996, 1245335823]",False,2,Rua Doutor Manuel Pereira da Silva,secondary,False,"LINESTRING (-8.6012643 41.1737938, -8.6012726 41.1737928, -8.6013086 41.173789, -8.6013471 41.1737862, -8.6013863 41.1737839, -8.6014639 41.1737802, -8.6015026 41.1737786, -8.6015419 41.1737773, -8.6015808 41.1737758, -8.6016198 41.1737743, -8.6021695 41.1737572, -8.6023474 41.1737514, -8.6034975 41.1737112, -8.6035805 41.1737092, -8.6037698 41.1737032)",,,
412249442,2084090872,66.615,705505995,False,2,Rua Doutor Manuel Pereira da Silva,secondary,False,,,,
2084090872,411504967,58.297,705505995,False,2,Rua Doutor Manuel Pereira da Silva,secondary,False,"LINESTRING (-8.6045648 41.1736749, -8.6048937 41.1736654, -8.6052572 41.1737054)",,,
411504967,411504968,24.88,1167578691,True,2,Largo da Igreja de Paranhos,secondary,False,,,,
411504968,4087312908,26.033,406682433,True,1,Largo da Igreja de Paranhos,secondary,False,"LINESTRING (-8.6055495 41.1737461, -8.6056257 41.1737355, -8.6057055 41.1737202, -8.6058348 41.1736612)",,,
4087312908,128597080,5.711,1167578694,False,3,Rua da Igreja de Paranhos,secondary,False,,,,
128597080,128580161,46.632999999999996,979428550,False,4,Rua da Igreja de Paranhos,secondary,False,"LINESTRING (-8.6058176 41.1736115, -8.6057649 41.1734355, -8.6056921 41.1732029)",50,,
128580161,128581937,77.18099999999998,"[241364281, 13798089, 34798406]",True,2,Rua da Igreja de Paranhos,secondary,False,"LINESTRING (-8.6056921 41.1732029, -8.6056693 41.1731262, -8.6056492 41.1730859, -8.605625 41.1730491, -8.6055955 41.1730103, -8.6054191 41.1728156, -8.6053668 41.1727487, -8.605328 41.1726626, -8.6053176 41.1725805)",,yes,
128581937,2490198483,98.633,"[448858673, 13798541]",True,2,Rua da Igreja de Paranhos,tertiary,False,"LINESTRING (-8.6053176 41.1725805, -8.6053408 41.1722423, -8.6053731 41.1720831, -8.6054025 41.1719824, -8.6055323 41.1717155)",,yes,
2490198483,128578706,34.922000000000004,"[13798545, 480140398]",True,1,Rua da Igreja de Paranhos,tertiary,False,"LINESTRING (-8.6055323 41.1717155, -8.6056487 41.1715763, -8.6057112 41.1714919, -8.6057483 41.1714469)",,yes,
128578706,11108276739,10.386,30912874,True,,Rua da Igreja de Paranhos,tertiary,False,,,,
11108276739,416007715,54.293,30912874,True,,Rua da Igreja de Paranhos,tertiary,False,,,,
416007715,316511865,63.583,30912874,True,,Rua da Igreja de Paranhos,tertiary,False,,,,
316511865,416007716,122.998,30912874,True,,Rua da Igreja de Paranhos,tertiary,False,"LINESTRING (-8.6066358 41.1705066, -8.6067412 41.1704441, -8.6068055 41.1704039, -8.607905 41.1699536)",,,
