start_node,end_node,length,osmid,oneway,lanes,name,highway,reversed,geometry,bridge,maxspeed
479183608,311889375,108.14600000000002,1016392202,False,3,Rua do Campo Alegre,secondary,False,"LINESTRING (-8.6375345 41.1528317, -8.6376612 41.1528629, -8.6381943 41.1529858, -8.6385465 41.1530634, -8.6385893 41.1530728, -8.6387697 41.153116)",,
311889375,428214905,149.137,28996911,True,2,Rua Guerra Junqueiro,tertiary,False,"LINESTRING (-8.6387697 41.153116, -8.6387355 41.1531863, -8.6381954 41.1542944, -8.638156 41.1543751)",,
428214905,428214906,78.69600000000001,28996911,True,2,Rua Guerra Junqueiro,tertiary,False,"LINESTRING (-8.638156 41.1543751, -8.6380786 41.1545338, -8.6378746 41.1549518, -8.6378318 41.1550394)",,
428214906,311889445,83.697,28996911,True,2,Rua Guerra Junqueiro,tertiary,False,"LINESTRING (-8.6378318 41.1550394, -8.6375106 41.1556584, -8.6374937 41.1556909, -8.637468 41.1557405)",,
311889445,428216714,56.839,28996911,True,2,Rua Guerra Junqueiro,tertiary,False,,,
428216714,311889366,71.944,28996911,True,2,Rua Guerra Junqueiro,tertiary,False,"LINESTRING (-8.6372278 41.1562186, -8.6369542 41.156765, -8.6369246 41.156824)",,
311889366,428214907,130.736,1016573832,True,2,Rua Guerra Junqueiro,tertiary,False,"LINESTRING (-8.6369246 41.156824, -8.6366935 41.1572951, -8.6364181 41.1578564, -8.6363835 41.1579269)",,
428214907,111415446,127.04600000000002,1016617005,True,2,Rua Guerra Junqueiro,tertiary,False,"LINESTRING (-8.6363835 41.1579269, -8.6363563 41.1579796, -8.635862 41.1589379, -8.6358336 41.1589918)",,
111415446,5284452753,218.882,"[1177650957, 250949165, 1177650958]",True,"['2', '3']",Avenida da Boavista,primary,False,"LINESTRING (-8.6358336 41.1589918, -8.6355239 41.1589419, -8.635316 41.1589086, -8.6352624 41.1589, -8.6350674 41.1588686, -8.6345512 41.1587795, -8.6345103 41.1587738, -8.6343641 41.1587487, -8.6342105 41.1587222, -8.6341734 41.1587158, -8.6339939 41.1586849, -8.6336453 41.1586249, -8.6334014 41.1585822, -8.633282 41.1585628)",,
5284452753,2572799251,9.276,167487416,True,,,primary_link,False,"LINESTRING (-8.633282 41.1585628, -8.6332673 41.1586055, -8.633255 41.1586437)",,
2572799251,1243809319,141.282,108385736,True,,Rua 15 de Novembro,residential,False,"LINESTRING (-8.633255 41.1586437, -8.6332321 41.1587176, -8.6330171 41.1594285, -8.6329893 41.1595199, -8.6328715 41.159881)",,
1243809319,1243809345,74.358,108385736,True,,Rua 15 de Novembro,residential,False,,,
1243809345,1243809331,12.546,167487384,True,1,Rua dos Vanzeleres,residential,False,,,
1243809331,335562443,94.227,167487384,True,1,Rua dos Vanzeleres,residential,False,"LINESTRING (-8.6328076 41.1605973, -8.6329408 41.1608108, -8.6331371 41.1613453, -8.6331573 41.1614002)",,
335562443,126597343,86.38799999999999,"[167487384, 1184878068]",True,"['1', '2']",Rua dos Vanzeleres,residential,False,"LINESTRING (-8.6331573 41.1614002, -8.6328352 41.161704, -8.6326243 41.1619039, -8.6325809 41.1619458, -8.6325164 41.1620091)",,
126597343,12148105741,299.86,"[105637465, 13714507, 209436196]",True,2,Rua Domingos Sequeira,secondary,False,"LINESTRING (-8.6325164 41.1620091, -8.6324316 41.1620732, -8.6314861 41.1625237, -8.6310379 41.1627403, -8.6309934 41.1627597, -8.630899 41.1628035, -8.6308701 41.1628162, -8.6297933 41.1632878, -8.6295804 41.1633828, -8.6295406 41.1634006, -8.6294737 41.1634261)",yes,
12148105741,126597726,37.937,209436196,True,2,Rua Domingos Sequeira,secondary,False,"LINESTRING (-8.6294737 41.1634261, -8.6293401 41.1634927, -8.6292266 41.1635506, -8.62909 41.1636071)",,
126597726,126598827,136.929,209436196,True,2,Rua Domingos Sequeira,secondary,False,"LINESTRING (-8.62909 41.1636071, -8.6290143 41.1636059, -8.627588 41.1635198, -8.6274598 41.1635081)",,
126598827,122439068,137.55599999999998,800153230,True,3,Avenida da França,secondary,False,"LINESTRING (-8.6274598 41.1635081, -8.6273562 41.1638723, -8.6271308 41.1645724, -8.6270836 41.1647122)",,
122439068,1216466461,133.915,608418840,True,2,Avenida da França,secondary,False,"LINESTRING (-8.6270836 41.1647122, -8.6270437 41.1648399, -8.6270194 41.1649227, -8.6269691 41.1650903, -8.6267719 41.1657348, -8.6267246 41.1658858)",,
1216466461,10876563844,63.317,608418840,True,2,Avenida da França,secondary,False,,,
10876563844,126592365,39.906,841248734,True,2,Avenida da França,secondary,False,"LINESTRING (-8.626589 41.166446, -8.626467 41.1666764, -8.626429 41.1667835)",,
126592365,1788788654,71.308,212706763,True,2,Rua da Prelada,secondary,False,"LINESTRING (-8.626429 41.1667835, -8.6263321 41.1667715, -8.6261851 41.1667763, -8.6261407 41.1667873, -8.6259142 41.1668432, -8.6258725 41.1668535, -8.6256914 41.1669202, -8.6256232 41.1669453)",,
1788788654,343646735,39.511,193149514,False,3,Praça do Exército Libertador,secondary,False,"LINESTRING (-8.6256232 41.1669453, -8.6254201 41.1669969, -8.6253926 41.1670039, -8.625176 41.167059)",,
343646735,3694392908,39.259,35475028,False,2,Rua da Natária,tertiary,True,"LINESTRING (-8.625176 41.167059, -8.6250381 41.1670928, -8.62473 41.1671682)",,
3694392908,4455723345,46.309,35475028,False,2,Rua da Natária,tertiary,True,,,
4455723345,343646734,91.997,35475028,False,2,Rua da Natária,tertiary,True,"LINESTRING (-8.624203 41.1672949, -8.6234468 41.1674775, -8.6233534 41.1674997, -8.6232561 41.1675226, -8.6231535 41.1675394)",,
343646734,474789304,146.754,741767469,False,,Rua de São Dinis,tertiary,False,"LINESTRING (-8.6231535 41.1675394, -8.6230796 41.1675369, -8.6230031 41.1675243, -8.6228039 41.1674724, -8.6226607 41.1674727, -8.6221444 41.1675019, -8.6219794 41.1675109, -8.6218681 41.1675098, -8.6217777 41.1675052, -8.621585 41.1674947, -8.6214164 41.1674924)",,20
474789304,2689538408,72.185,1187724077,False,,Rua de São Dinis,tertiary,False,"LINESTRING (-8.6214164 41.1674924, -8.6213684 41.1674938, -8.6205557 41.1675325)",,
2689538408,474728387,30.025,39607956,False,,Rua de São Dinis,tertiary,False,,,
474728387,1216466495,47.94,39607956,False,,Rua de São Dinis,tertiary,False,"LINESTRING (-8.620199 41.1675609, -8.6200573 41.1675703, -8.6197944 41.1675878, -8.6196285 41.1675988)",,
1216466495,343646742,134.464,263330574,True,,Rua Nova do Regado,residential,False,"LINESTRING (-8.6196285 41.1675988, -8.6196761 41.1686891, -8.6197025 41.1688058)",,
343646742,343646757,110.036,914265946,False,,Rua Nove de Abril,residential,False,,,
343646757,343646737,109.328,914265946,False,,Rua Nove de Abril,residential,False,,,
343646737,343646751,21.624,263330573,False,2,Rua Nove de Abril,residential,False,,,
343646751,5258500724,284.99199999999996,263330573,False,2,Rua Nove de Abril,residential,False,"LINESTRING (-8.6174141 41.1701197, -8.6165074 41.1706225, -8.6163901 41.170672, -8.6162353 41.1707013, -8.6161742 41.170704, -8.6157348 41.1707234, -8.615391 41.1707385, -8.6149876 41.1708483, -8.6144219 41.1711711)",,
5258500724,5258500725,114.493,456405090,True,1,Rua Nove de Abril,residential,False,"LINESTRING (-8.6144219 41.1711711, -8.6134406 41.1717732, -8.6134296 41.1717795, -8.6133596 41.1718197)",,
5258500725,128566335,51.577,228569586,False,2,Rua de Monsanto,tertiary,True,"LINESTRING (-8.6133596 41.1718197, -8.6132224 41.1718248, -8.6128427 41.1718284, -8.6127436 41.1718292)",,
128566335,128560437,84.221,13797704,False,3,Praça de Nove de Abril,secondary,False,"LINESTRING (-8.6127436 41.1718292, -8.6127544 41.1717464, -8.6128154 41.1712961, -8.6128402 41.1710753)",,
128560437,343646688,131.499,30912875,True,1,Praça de Nove de Abril,residential,False,"LINESTRING (-8.6128402 41.1710753, -8.6126606 41.1710618, -8.6112781 41.1709494)",,
343646688,343646697,93.41999999999999,30912876,False,2,Praça de Nove de Abril,residential,False,"LINESTRING (-8.6112781 41.1709494, -8.6112594 41.1710905, -8.6111848 41.1716541, -8.6111674 41.1717854)",,
343646697,2486710547,95.208,30912876,False,2,Praça de Nove de Abril,residential,False,"LINESTRING (-8.6111674 41.1717854, -8.6110861 41.1725806, -8.6110801 41.1726391)",,
2486710547,287458449,60.426,35104969,False,2,Rua de Delfim Maia,residential,True,"LINESTRING (-8.6110801 41.1726391, -8.6109755 41.1726582, -8.6104543 41.1727534, -8.6103785 41.1727672)",,
287458449,416007714,91.381,26248565,True,,Rua de Delfim Maia,residential,False,"LINESTRING (-8.6103785 41.1727672, -8.6095116 41.1729352, -8.6094669 41.1729427, -8.6093197 41.1729674)",,
416007714,128597080,301.757,"[35727408, 1167578690, 35727410, 1028336214]",True,"['1', '2']",Rua de Delfim Maia,residential,False,"LINESTRING (-8.6093197 41.1729674, -8.6092856 41.1729735, -8.6083712 41.1731364, -8.6073315 41.1733228, -8.6066052 41.1734655, -8.605984 41.1735813, -8.6058176 41.1736115)",yes,
