node,y,x,street_count,highway
25632284,41.1551988,-8.6188807,4,
25632285,41.1541642,-8.6133083,3,
25632293,41.1537385,-8.6132636,4,
25632361,41.1526088,-8.6207549,4,
25632372,41.1529176,-8.6240719,3,
128580161,41.1732029,-8.6056921,4,
128588858,41.1725769,-8.6043711,3,
128597080,41.1736115,-8.6058176,4,
128673221,41.1523893,-8.6271726,3,
128673222,41.1524782,-8.628743,4,
128673223,41.1525836,-8.6306176,4,
128674452,41.1523141,-8.6261136,4,
128674453,41.1527713,-8.6245762,3,
129548927,41.157254,-8.6099838,4,
129549662,41.1566031,-8.6118744,3,
137982795,41.1552341,-8.6190683,4,
137992807,41.1601137,-8.6079034,4,
137992808,41.1573388,-8.6091917,4,
137994720,41.1589843,-8.6083976,3,
138205498,41.1662568,-8.6064353,3,
297880533,41.1496681,-8.6346888,3,
343646649,41.1654078,-8.6063584,4,traffic_signals
411504969,41.1738436,-8.6058855,3,
411506246,41.1743536,-8.6060761,3,
412246602,41.1763862,-8.6039188,4,
412248019,41.1758899,-8.600181,3,
425725651,41.164361,-8.6062487,3,
432578781,41.1772548,-8.5995986,3,
444011318,41.1746208,-8.6058055,3,
475052386,41.152802,-8.6229114,3,
478902811,41.1509349,-8.6336171,3,
478927788,41.1499125,-8.6370336,3,
479183608,41.1528317,-8.6375345,3,
1110673556,41.1526457,-8.626206,3,
1110698273,41.1538357,-8.6120253,3,
1223751610,41.1758223,-8.6004711,3,
1353874575,41.1512531,-8.6331114,3,
1418798461,41.1524179,-8.6324716,3,
1418798464,41.1526121,-8.6322194,3,
1419645372,41.1548093,-8.6205918,3,
1419645378,41.1553223,-8.6195651,3,
1548554599,41.1759212,-8.6059768,3,
1788786316,41.1526165,-8.6313575,5,
1788787056,41.154924,-8.6120012,3,
3554953651,41.1745723,-8.6057913,3,
3896082259,41.1634965,-8.6065132,3,
4087312908,41.1736612,-8.6058348,3,
4523960189,41.1778975,-8.5992641,3,
4554424112,41.1500306,-8.6375675,3,
4554424124,41.1504683,-8.6378645,3,
4612022469,41.154823,-8.6209435,3,
5284368076,41.1552219,-8.6119092,3,
5291538854,41.1570815,-8.6112673,3,crossing
5291598235,41.1700774,-8.6055501,3,
5291598240,41.1717002,-8.6042647,3,
5291598250,41.170999,-8.6048199,3,
5865201851,41.1601743,-8.6078756,3,
