node,y,x,street_count,highway
90378716,41.1578854,-8.6279429,3,
112675715,41.1575794,-8.6280314,3,
122452427,41.1627093,-8.6111351,4,
126604789,41.1598688,-8.6246623,4,
126617427,41.1623639,-8.6164669,4,traffic_signals
126617428,41.161719,-8.6113581,4,
128560448,41.1649768,-8.6109795,3,
129795309,41.1548092,-8.6307303,3,
129795568,41.1554844,-8.6295076,3,
129800102,41.1545682,-8.6310274,3,
137817763,41.1551463,-8.6290019,3,
138208872,41.1613323,-8.6210694,3,
138209120,41.1615483,-8.6205905,3,
314555992,41.1551671,-8.6302935,3,
316511863,41.1677569,-8.6107657,3,
316511864,41.1695191,-8.6084611,3,
335691896,41.1526306,-8.6330929,3,
343634640,41.1699541,-8.6034918,4,
343646689,41.1694097,-8.608551,3,
343646709,41.1667825,-8.6108886,3,
343646851,41.1618918,-8.6126976,4,
411504965,41.1700292,-8.5972921,3,
411504977,41.1746799,-8.5997536,4,
411504999,41.1733741,-8.5989726,3,
411835384,41.1726276,-8.5964557,3,
411835470,41.1720387,-8.598181,4,traffic_signals
416007718,41.1696899,-8.6082111,3,
416007719,41.1697067,-8.6079414,3,
418191593,41.1696451,-8.6057303,3,
420776943,41.1779635,-8.5992274,3,
432578810,41.1729881,-8.5987414,4,
432578813,41.1737693,-8.5992093,4,
432578817,41.1747749,-8.5989768,3,
432578831,41.1754256,-8.5941911,3,
432578922,41.1724091,-8.5959338,3,
435468987,41.1684728,-8.6098197,3,
435468997,41.1675902,-8.610833,4,
444017063,41.1697495,-8.5991419,3,
444017065,41.1697285,-8.5987844,3,
444017068,41.1697127,-8.598374,3,
444017071,41.1697666,-8.5995487,3,
445439284,41.1724296,-8.5984117,3,
445439290,41.1743141,-8.5995415,3,
473859815,41.1603112,-8.6217467,3,
474541483,41.1606956,-8.6211627,3,
474549060,41.1625383,-8.6184474,4,
474549120,41.161495,-8.6206935,3,
474552495,41.161111,-8.6211012,3,
474682657,41.162276,-8.6157514,4,
474683167,41.162236,-8.6154376,3,
475082799,41.1620717,-8.6142332,3,
479183608,41.1528317,-8.6375345,3,
479183873,41.1524621,-8.6344234,3,
1165604001,41.1696555,-8.6082651,3,
1216789877,41.1603937,-8.6227567,3,
1418798472,41.1528936,-8.6322712,3,
1438444064,41.1554107,-8.630041,3,
2165604353,41.1620833,-8.6143165,3,
2168903802,41.1696602,-8.5972898,3,
2168903806,41.1696618,-8.5973632,3,
2168903808,41.169662,-8.597149,3,
2185792256,41.1773085,-8.5970814,3,
2244990442,41.1540073,-8.6318156,4,
2455291504,41.1603856,-8.6222135,3,
2958410861,41.1645454,-8.6109892,4,
3092543648,41.1536041,-8.6322,4,
3391599154,41.1526305,-8.6324251,4,
3391599155,41.1527069,-8.6323841,4,
3446699979,41.1570791,-8.6285705,3,
4282469015,41.1756709,-8.5948554,3,
4282469037,41.1759623,-8.5954971,4,
4282469042,41.1760922,-8.5964343,3,
4452315764,41.1699337,-8.6030773,3,
4473265202,41.1698873,-8.6021352,3,
4523960189,41.1778975,-8.5992641,3,
4523960191,41.1776263,-8.5981844,3,
4526688769,41.1698679,-8.6066215,3,
4526688774,41.1697764,-8.606241,3,
4526688784,41.1698693,-8.6067817,3,
4612052763,41.1602583,-8.6213127,3,
4612052766,41.1605352,-8.6211833,3,
4612052768,41.1603871,-8.621163,3,
4703906249,41.1603359,-8.6219231,4,crossing
5297703224,41.1525859,-8.633479,3,
5865201872,41.1619342,-8.6130674,3,
8091600965,41.1654481,-8.6109324,3,
9380255665,41.1556322,-8.6274386,3,
12106031777,41.1583058,-8.6279982,3,
12106031784,41.1584693,-8.6279107,3,
12374109905,41.1605513,-8.6211787,4,crossing
